date,home_team,away_team,home_score,away_score,neutral,home_form,away_form,form_diff,elo_home,elo_away,elo_diff
1990-01-12,Algeria,Mali,5.0,0.0,1,0,0,0,1500.0,1500.0,0.0
1990-01-14,Algeria,Cameroon,3.0,1.0,1,3,0,3,1510.0,1500.0,10.0
1990-01-17,Greece,Belgium,2.0,0.0,0,0,0,0,1500.0,1750.0,-250.0
1990-01-17,Mexico,Argentina,2.0,0.0,1,0,0,0,1650.0,1850.0,-200.0
1990-01-20,Malawi,Tanzania,2.0,2.0,1,0,0,0,1500.0,1500.0,0.0
1990-01-20,Eswatini,Botswana,3.0,1.0,0,0,0,0,1500.0,1500.0,0.0
1990-01-21,Botswana,Malawi,2.0,2.0,1,0,1,-1,1490.0,1500.0,-10.0
1990-01-21,Kuwait,France,0.0,1.0,0,0,0,0,1500.0,1850.0,-350.0
1990-01-21,Eswatini,Tanzania,0.0,1.0,0,3,1,2,1510.0,1500.0,10.0
1990-01-23,Botswana,Tanzania,0.0,0.0,1,1,4,-3,1490.28774368332,1510.28774368332,-20.0
1990-01-24,France,German DR,3.0,0.0,1,3,0,3,1852.3532340590612,1500.0,352.35323405906115
1990-01-24,Liberia,Senegal,0.0,1.0,1,0,0,0,1500.0,1500.0,0.0
1990-01-25,Nigeria,Ivory Coast,2.0,0.0,0,0,0,0,1500.0,1500.0,0.0
1990-01-25,United Arab Emirates,Egypt,1.0,2.0,0,0,0,0,1500.0,1500.0,0.0
1990-01-26,Kuwait,German DR,1.0,2.0,0,0,0,0,1497.6467659409388,1497.6747474380616,-0.027981497122709698
1990-01-27,Ivory Coast,Liberia,1.0,0.0,1,0,0,0,1490.0,1490.0,0.0
1990-01-27,United Arab Emirates,Egypt,1.0,0.0,0,0,3,-3,1490.0,1510.0,-20.0
1990-01-28,Nigeria,Senegal,1.0,1.0,0,3,3,0,1510.0,1510.0,0.0
1990-01-29,Thailand,Kenya,2.0,1.0,0,0,0,0,1500.0,1500.0,0.0
1990-02-02,Iran,Poland,0.0,2.0,0,0,0,0,1500.0,1500.0,0.0
1990-02-02,United States,Costa Rica,0.0,2.0,0,0,0,0,1650.0,1500.0,150.0
1990-02-02,Colombia,Uruguay,0.0,2.0,1,0,0,0,1500.0,1750.0,-250.0
1990-02-02,Indonesia,Kenya,2.0,3.0,1,0,0,0,1500.0,1490.0,10.0
1990-02-04,Algeria,Romania,0.0,0.0,0,6,0,6,1519.71225631668,1500.0,19.71225631667994
1990-02-04,Costa Rica,Uruguay,0.0,2.0,1,3,3,0,1514.0677000694366,1753.8336465490108,-239.76594647957427
1990-02-04,Iran,Poland,0.0,1.0,0,0,3,-3,1490.0,1510.0,-20.0
1990-02-04,South Korea,Norway,2.0,3.0,1,0,0,0,1500.0,1500.0,0.0
1990-02-04,United States,Colombia,1.0,1.0,0,0,0,0,1635.9322999305634,1496.1663534509892,139.76594647957427
1990-02-05,Thailand,Indonesia,1.0,1.0,0,3,0,3,1510.0,1489.71225631668,20.28774368332006
1990-02-05,United Arab Emirates,Denmark,1.0,1.0,0,3,0,3,1500.5750112778453,1650.0,-149.4249887221547
1990-02-07,Malta,Norway,1.0,1.0,0,0,3,-3,1500.0,1510.0,-10.0
1990-02-10,Malta,South Korea,1.0,2.0,0,1,0,1,1500.28774368332,1490.0,10.287743683320059
1990-02-10,Uganda,Mauritius,4.0,1.0,0,0,0,0,1500.0,1500.0,0.0
1990-02-11,Togo,Cameroon,1.0,1.0,0,0,0,0,1500.0,1490.28774368332,9.712256316679941
1990-02-11,Kuwait,Poland,1.0,1.0,1,0,6,-6,1487.647571313164,1519.4249887221547,-31.777417408990686
1990-02-12,United Arab Emirates,Finland,1.0,1.0,0,4,0,4,1504.6288903195468,1500.0,4.6288903195468265
1990-02-13,Bermuda,United States,0.0,1.0,0,0,1,-1,1500.0,1632.1133295012046,-132.1133295012046
1990-02-14,Egypt,Denmark,0.0,0.0,0,3,1,2,1499.4249887221547,1645.9461209582985,-146.52113223614379
1990-02-14,United Arab Emirates,Sweden,2.0,1.0,0,5,0,5,1504.49566802881,1500.0,4.495668028810087
1990-02-15,Iraq,South Korea,0.0,0.0,0,0,3,-3,1500.0,1500.2960185560382,-0.29601855603823424
1990-02-15,Kuwait,Finland,0.0,1.0,0,1,1,0,1488.5596569941085,1500.1332222907367,-11.573565296628203
1990-02-17,United Arab Emirates,Sweden,0.0,2.0,0,8,0,8,1514.3662795226844,1490.1293885061257,24.23689101655873
1990-02-18,Egypt,South Korea,0.0,0.0,0,4,4,0,1503.408787675852,1500.2874984591701,3.1212892166818165
1990-02-20,Colombia,Russia,0.0,0.0,1,1,0,1,1499.985323880348,1500.0,-0.014676119651994668
1990-02-21,Spain,Czechoslovakia,1.0,0.0,0,0,0,0,1850.0,1500.0,350.0
1990-02-21,Netherlands,Italy,0.0,0.0,0,0,0,0,1750.0,1750.0,0.0
1990-02-21,Morocco,Ivory Coast,2.0,1.0,0,0,3,-3,1500.0,1500.0,0.0
1990-02-21,Kuwait,Bahrain,1.0,0.0,0,1,0,1,1478.8926478221017,1500.0,-21.107352177898292
1990-02-21,Belgium,Sweden,0.0,0.0,0,0,3,-3,1733.8336465490108,1500.8258529204854,233.0077936285254
1990-02-21,Gambia,Guinea-Bissau,0.0,1.0,0,0,0,0,1500.0,1500.0,0.0
1990-02-22,Costa Rica,Russia,1.0,2.0,1,3,1,2,1510.0481744506137,1499.999577587321,10.048596863292687
1990-02-22,Oman,United Arab Emirates,1.0,1.0,1,0,8,-8,1500.0,1503.6698151083247,-3.6698151083246557
1990-02-23,Qatar,Bahrain,0.0,0.0,1,0,0,0,1500.0,1489.3932278741995,10.60677212580049
1990-02-24,Kuwait,Oman,1.0,1.0,0,4,1,3,1489.4994199479022,1500.105621841553,-10.606201893650905
